Indicador,Indicador_Nome,Regiao_Geografica,Geografia_Nome,Recorte_Demografico,Recorte_Nome,Variavel_Testada,Metodo,Estatistica,GL,p_valor,Significancia,p_ajustado,Significancia_ajustada,N
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2252013,Micro 2252013,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),1.759892406460363,"1, 11",3.605911381910687e-32,***,2.7945813209807823e-31,***,12
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2252013,Micro 2252013,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),2.619538673028297,"1, 11",2.500150974801671e-31,***,1.1072097174121686e-30,***,12
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2251011,Micro 2251011,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),4.603544457205405,"2, 11",2.6721257719547867e-31,***,3.874582369334441e-30,***,12
Taxa_Informalidade,Taxa de Informalidade,Zona_Rural,Zona Rural,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),198.5064234538952,"1, 199",1.8294600548349684e-30,***,1.6007775479805974e-29,***,1269
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2252013,Micro 2252013,Raca,Cor ou Raça,Raca,svyglm+regTermTest(LRT),2.275225596395897,"1, 11",4.3891727919921114e-30,***,4.2428670322590406e-29,***,12
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2252011,Micro 2252011,Instrucao_agregado,Grau de Instrução (dicotomizado),Instrucao,svyglm+regTermTest(LRT),5.267007682001104,"1, 11",1.332840638063105e-29,***,5.164757472494534e-29,***,13
Percentual_Subremuneracao,Subremuneração (abaixo do salário-mínimo/hora),Zona_Urbana,Zona Urbana,Instrucao,Grau de Instrução (detalhado),VD3004,svyglm+regTermTest(LRT),522.3900017145579,"6, 199",3.5100954738557107e-29,***,7.722210042482563e-28,***,8516
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2251011,Micro 2251011,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),4.387282098552651,"1, 11",5.536463919793887e-29,***,7.197403095732053e-28,***,12
Conribuintes_Desocupados,Responsáveis ou Cônjuges Desocupados,Micro_2252013,Micro 2252013,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),11.242035036535974,"1, 11",1.7063509025225595e-28,***,8.531754512612798e-28,***,12
Chefes_Familia_Desocupados,Pessoas Responsáveis pelo Domicílio Desocupadas,Micro_2252013,Micro 2252013,Faixa_Etaria_trabalho,Faixa Etária,Faixa_Etaria_trabalho,svyglm+regTermTest(LRT),8.193239357537108,"1, 11",3.8064748520692733e-28,***,3.29894487179337e-27,***,12
